DVM,ELEMENT_MAPPNING_LKP,,
Source_Element,Cloud_Element,Type,Expediture_Type_Name,Expediture_Type_Id,System_Linkage_function
Regular Pay,Regular Pay,PayrollTimeType,300000007293130 - ST,300000007293130,ST
TS Overtime,Overtime Pay,PayrollTimeType,300000007293129 - OT,300000007293129,OT
Double Time,Double Time,PayrollTimeType,300000007293129 - OT,300000007293129,OT
Reg Pay Premium,Reg Pay Premium,PayrollTimeType,300000007293130 - ST,300000007293130,ST
Double Time and a Half,Double Time and Half,PayrollTimeType,300000007293129 - OT,300000007293129,OT
Holiday,Holiday Pay,PayrollTimeType,,,
Overtime Straight Tm,,PayrollTimeType,,,
Double Premium,,PayrollTimeType,,,
Sick Leave,Sick Leave,AbsenceType,,,
Leave Without Pay,Leave Without Pay,AbsenceType,,,
Personal Leave,Personal,AbsenceType,,,
Option Time,Option Time,AbsenceType,,,
Floating Holiday,Floating Holiday,AbsenceType,,,
Emergency Leave,Emergency Leave,AbsenceType,,,
Jury Duty,Jury Duty,AbsenceType,,,
Military Leave,Military Leave,AbsenceType,,,
Funeral Leave,Funeral Leave,AbsenceType,,,
Administrator Leave,Administrator Leave,AbsenceType,,,
Volunteer Paid Time,Volunteer Leave,AbsenceType,,,
Vacation Taken,Vacation,AbsenceType,,,
