DVM,ERPWACS_PurchaseCommodity,Map ERP Purchase Category Name to WACS Purchase Commodity,"  purchase commodity,   wacs_erppim"
ERP_PurchaseCategoryName,WACS_PurchaseCommodity
Bearings,CM-Bearings
Belting,CM-Belting
Blowers,CM-Blowers
Brakes,CM-Brakes
Buckets/Rigging,CM-Buckets
Building Components,CM-BuildComp
CIP,CM-CIP
CIP-013,CM-CIP013
Chemicals & Catalysts,CM-ChemCat
Cleaning & Restoration Services,CM-CleanRest
Compressors,CM-Compress
Computer Hardware,CM-CompHdw
Computer Maintenance,CM-CompMtn
Computer Software,CM-CompSft
Construction Services,CM-ConstSvcs
Consultants,CM-Consult
Contractor Furnished Materials,CM-ContFurnMat
Control Building Services,CM-ContBldgSvcs
Conveying Systems,CM-ConvSyst
Dampers,CM-Dampers
Default,CM-Default
Design/Build - Engineering/Construction,CM-DesBuild
Differentials/Panetaries,CM-DiffPane
Drill Bits and Steels,CM-DrillBits
Drives/Gearboxes/Pulley/Shaft,CM-Drives
Dust Suppression,CM-Dust
Electric Motors and Generators,CM-ElecMotor
Electrical,CM-Electric
Electrical Services,CM-ElecSvcs
Engineering Services,CM-EngSvcs
Engines,CM-Engines
Environmental Services,CM-EnvSvcs
Explosives,CM-Explosives
Fans,CM-Fans
Fasteners/Hardware,CM-Fasteners
Feedwater Heaters,CM-FeedHtr
Filters,CM-Filters
Fleet,CM-Fleet
Frames/Structures,CM-Frames
Freight Services,CM-FrtSvcs
Fuel - Generation,CM-FuelGen
Fuel - Non-Generation,CM-FuelNonGen
Gaskets,CM-Gaskets
General Contract Services,CM-GenContSvcs
Geotechnical Services,CM-GeotechSvcs
Hanger,CM-Hanger
Headquarters,CM-HQ
Heat Exchanges,CM-HeatExch
Hydraulics,CM-Hydraulics
Inspections Services,CM-InspSvcs
Instrumentation,CM-Instrum
Janitorial,CM-Janitorial
Land Services,CM-LandSvcs
Leased Worker/Contingent Worker,CM-LeasedWork
Legal Services,CM-LegalSvcs
Lubricants,CM-Lubricants
Materials and Supplies,CM-MatlSupp
Mechanical Parts,CM-MechParts
Metals,CM-Metals
Miscellaneous,CM-Misc
Motors,CM-Motors
Obsolete,CM-Obsolete
Off-site Services,CM-OffSiteSvcs
Office Equipment,CM-OffEquip
Office Supplies,CM-OffSupp
On-Site Services,CM-OnSiteSvcs
Operating Lease Long Term,CM-OperLeaseLT
Operating Lease Short Term,CM-OperLeaseST
Operating Lease Variable Term,CM-OperLeaseVT
Pcard Purchases,CM-Pcards
Pest Control,CM-Pest
"Pipe, Valve, and Fittings",CM-PipeValve
Printing,CM-Printing
Pumps,CM-Pumps
Registrations,CM-Regist
Rental Equipment,CM-RentEquip
Repairs/Maint - Building,CM-RMBldgs
Repairs/Maint - Equipment,CM-RMEquip
Repairs/Maint - Furniture,CM-RMFurn
Repairs/Maint - Grounds,CM-RMGrounds
Repairs/Maint - Vehicles,CM-RMVehic
Safety,CM-Safety
Security,CM-Security
Subscriptions and Dues,CM-SubscDues
Surfacing Materials,CM-SurfMatl
Surveying Services,CM-SurveySvcs
Swing/Hoist/Drag Gearbox,CM-Swing
Teeth/Cutting Edges,CM-TeethCut
Telecommunication,CM-Telecom
Testing Services,CM-TestSvcs
Tires,CM-Tires
Tools and Small Equipment,CM-Tools
Training and Seminars,CM-TrnSem
Transformers Services,CM-TransfSvcs
Transmission Chemicals,CM-TransmChem
Transmission Fleet,CM-TransmFleet
Transmission Fleet Miles,CM-TransmFltMi
Transmission Lines,CM-TransmLines
Transmission Substation,CM-TransmSub
Transmission Telecommunication,CM-TransmTelecom
Transmission Telecommunications,CM-TransmTelecoms
Transmissions/Converters,CM-TransConv
Undercarriages/Suspensions,CM-UnderCar
Welding Parts,CM-WeldParts
Wire Rope,CM-WireRope
Fuel - Generation Coal,CM-FuelGenCoal
Fuel - Generation Liquid Fuel,CM-FuelGenLiq
