DVM,ERPWACS_UOMCode,Map UOM Code values between ERP and WACS.,"   wacs_erppim,  uom"
ERP_UOMCode,ERP_UOMName,WACS_UOMCode
BD,BD,BD
BG,BG,BG
BI,BI,BI
BL,BL,BL
BT,BT,BT
BTU,BTU,BTU
BX,BX,BX
CC,CC,CC
CF,CF,CF
CI,CU IN,CI
CL,CL,CL
CM,CM,CM
CN,CN,CN
CS,CS,CS
CT,CT,CT
CY,CY,CY
DAY,Day,DAY
DR,DR,DR
DZ,DZ,DZ
Ea,Ea,Ea
flz,fl oz,flz
FT,FT,FT
GB,GB,GB
GL,GL,GL
HR,HR,HR
IN,IN,IN
KG,KG,KG
KM,KM,KM
KT,KT,KT
lb,lb,lb
LF,LF,LF
LN,LN,LN
LR,LR,LR
LT,LT,LT
M,M,M
MB,MB,MB
MIN,Min,MIN
MM,MM,MM
OZ,OZ,OZ
PC,PC,PC
PK,PK,PK
PL,PL,PL
PR,PR,PR
PT,PT,PT
QD,QD,QD
QT,QT,QT
RE,RE,RE
RL,RL,RL
SEC,Sec,SEC
SF,SF,SF
SH,SH,SH
SP,SP,SP
SR,SR,SR
ST,ST,ST
TB,TB,TB
TN,TN,TN
WK,Week,WK
YD,YD,YD
UT,UT,UT
