DVM,OUTL-BRT-HCM_WACS_AbsenceType,Map HCM Absence Type to WACS Leave Type.,
WACS_LeaveType,HCM_AbsenceType
CM_AdministrativeLeave,Administrative Leave
CM_DeferredOptionTime,Deferred Option Time
CM_DeferredVacation,Deferred Vacation
CM_EmergencyLeave,Emergency Leave
CM_FloatingHoliday,Floating Holiday
CM_FuneralLeave,Funeral Leave
CM_JuryDuty,Jury Duty
CM_LeaveWithoutPay,Leave Without Pay
CM_LeaveWOPayUnionBusiness,Leave without Pay Union Business
CM_MilitaryLeave,Military Leave
CM_OptionTime,Option Time
CM_Personal,Personal
CM_STATHoliday,STAT Holiday
CM_SickLeave,Sick Leave
CM_UnionBusinessStrTimeCraig,Union Business Str Time Craig
CM_UnionBusinessStrTimeTrans,Union Business Str Time Trans
CM_Vacation,Vacation
CM_VolunteerLeave,Volunteer Leave
CM_Personal,Personal Leave/Holiday Time
CM_LeaveWithoutPayHourly,Leave Without Pay Hourly
CM_MaternityLeave,Maternity Leave
CM_OptionTime,Option Time Excess Hours
CM_ParentalLeave,Parental Leave
CM_UnpaidLeave,Unpaid Leave
CM_Vacation,Vacation BU
CM_Vacation,Vacation NBU - Exec
CM_Vacation,Vacation NBU - Mgr
CM_Vacation,Vacation NBU - Sr Mgr
CM_Vacation,Vacation NBU - Standard
CM_AdministrativeLeave,Administrator Leave
CM_LeaveWithoutPayHourly,Leave without Pay - Hourly
CM_UnionBusinessStrTimeCraig,Union Business Straight Time Craig
CM_UnionBusinessStrTimeTrans,Union Business Straight Time Trans
CM_STATHoliday,Holiday
