DVM,OUTL-BRT-HCM_WACS_BusinessUnit,Maps HCM legal entity to WACS business unit,
HCM_LegalEntity_ID,HCM_LegalEntity,WACS_BU
300000004261167,"Tri-State Generation and Transmission Association, Inc.",CM-TSGT
300000004227630,Thermo Cogeneration Partnership,CM-ThermoCogen
300000004227558,Greenhouse Holdings,CM-Greenhouse
300000004261131,Springerville Unit 3 Partnership,CM-Springerville
300000004101603,Elk Ridge Mining and Reclamation,CM-ElkRidge
300000004227521,Colowyo Coal Company,CM-Colowyo
300000004261059,Axial Basin Coal Company,CM-AxialBasin
300000004101677,Taylor Creek Holding Company,CM-TaylorCreek
300000004261203,Yampa Project Operating Agent,CM-YampaProj
300000004101622,MBPP - Westside Transmission,CM-MBPP
300000004261078,Delta County Transmission,CM-DeltaCounty
300000004101641,Rifle San Juan,CM-RifleSanJuan
300000004101713,Utility Service Agreement,CM-UtilSvgAgreement
300000004227594,Rural Electric Action Alliance,CM-RuralElec
300000004227666,Western States Power Corporation,CM-WestStates
