DVM,OUTL-BRT-WACS_ERPFA_PROPERTYUNIT,This lookup is used to map the WACS Property Unit value to ERPFA Asset Category and Asset Category Segments.,"  asset category,    wacs_erpfa,    property unit"
WACS_PropertyUnit,ERP_AssetCatSeg1,ERP_AssetCatSeg2,ERP_AssetCatSeg3,ERP_AssetCatSeg4,ERP_AssetCatSeg5,ERP_AssetCatSeg6,ERP_AssetCatSeg7,ERP_AssetCategory
105.NONE,410,,410-0000-404000-61310-20310-00000-000-000000-000000,,,,,105.NONE
106.BURLINGTON,,,410-2010-403010-61305-20310-30029-000-000000-000000,,,,,106.BURLINGTON
106.CRAIG 1,410,2000,410-2000-403000-61305-20310-30033-000-000000-000000,,,,,106.CRAIG 1
"106.CRAIG 1,2 COMMON",,,410-2000-403000-61305-20310-30033-000-000000-000000,,,,,"106.CRAIG 1,2 COMMON"
"106.CRAIG 1,2,3 COMMON",410,2000,410-2000-403000-61305-20310-30033-000-000000-000000,,,,,"106.CRAIG 1,2,3 COMMON"
106.CRAIG 2,,,410-2000-403000-61305-20310-30033-000-000000-000000,,,,,106.CRAIG 2
106.CRAIG 3,,,410-2000-403000-61305-20310-30033-000-000000-000000,,,,,106.CRAIG 3
106.CRAIG COAL,,,410-2000-403000-61305-20310-30033-000-000000-000000,,,,,106.CRAIG COAL
106.GENERAL PLANT,,,410-1000-403030-61305-20310-00000-000-000000-000000,,,,,106.GENERAL PLANT
106.JM SHAFFER,,,410-2000-403000-61305-20310-30081-000-000000-000000,,,,,106.JM SHAFFER
106.KNUTSON,,,410-2010-403010-61305-20310-30071-000-000000-000000,,,,,106.KNUTSON
106.LIMON,,,410-2010-403010-61305-20310-30070-000-000000-000000,,,,,106.LIMON
106.LRS COMMON,,,410-2000-403000-61305-20310-30094-000-000000-000000,,,,,106.LRS COMMON
106.PYRAMID,,,410-2010-403010-61305-20310-30072-000-000000-000000,,,,,106.PYRAMID
106.SPRINGERVILLE,,,410-2000-403000-61305-20310-30047-000-000000-000000,,,,,106.SPRINGERVILLE
106.TELECOM,,,410-1000-403030-61305-20310-00000-000-000000-000000,,,,,106.TELECOM
106.TRANSMISSION LINES,,,410-3020-403015-61305-20310-00000-000-000000-000000,,,,,106.TRANSMISSION LINES
106.TRANSMISSION SUBS,,,410-3020-403020-61305-20310-00000-000-000000-000000,,,,,106.TRANSMISSION SUBS
114.NONE,,,410-0000-406000-61310-20310-00000-000-000000-000000,,,,,114.NONE
121.ESCALANTE,,,410-0000-417100-61305-20310-00000-000-000000-000000,,,,,121.ESCALANTE
121.NONE,,,410-0000-417100-61305-20310-00000-000-000000-000000,,,,,121.NONE
121.RIFLE,,,410-0000-417100-61305-20310-00000-000-000000-000000,,,,,121.RIFLE
165.NONE,,,410-1000-426030-61310-20310-00000-000-000000-000000,,,,,165.NONE
182.NONE,,,410-0000-407000-61310-20310-00000-000-000000-000000,,,,,182.NONE
186.NONE,,,410-0000-407010-61310-20310-00000-000-000000-000000,,,,,186.NONE
302.NONE,,,410-0000-404000-61310-20310-00000-000-000000-000000,,,,,302.NONE
303.NONE,,,410-0000-405000-61310-20310-00000-000-000000-000000,,,,,303.NONE
310.NONE,,,410-2000-403000-61305-20310-00000-000-000000-000000,,,,,310.NONE
311.CRAIG 1,,,410-2000-403000-61305-20310-30033-000-000000-000000,,,,,311.CRAIG 1
"311.CRAIG 1,2 COMMON",,,410-2000-403000-61305-20310-30033-000-000000-000000,,,,,"311.CRAIG 1,2 COMMON"
"311.CRAIG 1,2,3 COMMON",,,410-2000-403000-61305-20310-30033-000-000000-000000,,,,,"311.CRAIG 1,2,3 COMMON"
