DVM,OUTL-BRT-WACS_FPRC_DeliverToLocation,"Maps ERP Procurement Cloud Deliver To Location Code to WACS Ship To Location or vise versa. In WACS, Ship To Location is a storeroom.",wacs_fprc
WACS_ShipToLocation,FPRC_DeliverToLocationCode,FPRC_DestinationOrgCode
Burlington Warehouse,US CO Burlington Turbines & Oil Tanks,BUR
Colowyo Warehouse,US CO Colowyo Mine,CCC
Craig Warehouse,US CO Craig Station,CRG
Knutson Warehouse,US CO Frank Knutson Generating Station,BRI
Shafer Warehouse,US CO JM Shafer Station,JMS
Limon Warehouse,US CO Limon Generating Station,LIM
Frederick Warehouse,US CO Northern Colorado Maintenance Center,NCM
Montrose Warehouse,US CO West side transmission,TMW
Pyramid Warehouse,US NM Pyramid Generating Station,PYR
Las Cruces Warehouse,US NM Rio Rancho Maintenance Center,TMS
Sidney Warehouse,US NE Sidney Warehouse,TME
Westminster Warehouse,US CO Tri-State Headquarters,THQ
New Horizon Mine,US CO New Horizon Mine,NHM
Cimarron Warehouse,US NM Rio Rancho Maintenance Center,TMS
Rio Rancho Warehouse,US NM Rio Rancho Maintenance Center,TMS
Craig Field Facility Warehouse,US CO Craig Transmission Field Facility,TMW
Crib Warehouse,US CO Craig Station,CRG
US WY Thermopolis Field Facility,US WY Thermopolis Field Facility,THQ
US CO Granby Field Facility,US CO Granby Field Facility,THQ
US CO Wray Field Facility,US CO Wray Field Facility,THQ
US CO Rifle Generating Station,US CO Rifle Generating Station,THQ
US CO Durango Field Facility,US CO Durango Field Facility,THQ
US NE Stegal Field Facility,US NE Stegal Field Facility,THQ
US CO Parker Field Facility,US CO Parker Field Facility,THQ
US CO Craig Transmission Field Facility,US CO Craig Transmission Field Facility,THQ
622246246463,US CO Montrose Field Facility,THQ
063082061139,US CO San Luis Valley Field Facility,THQ
877772999258,US NE Scottsbluff Field Facility,THQ
120476165979,US NM Escalante Generating Station,THQ
US CO Nucla Generating Station,US CO Nucla Generating Station,THQ
US CO Rifle Field Facility,US CO Rifle Field Facility,THQ
US NE Ogallala Line Facility,US NE Ogallala Line Facility,THQ
US CO Kremmling Field Facility,US CO Kremmling Field Facility,THQ
US CO Burlington Field Facility,US CO Burlington Field Facility,THQ
US NM Pyramid Generating Station,US NM Pyramid Generating Station,THQ
US WY Cheyenne Field Facility,US WY Cheyenne Field Facility,THQ
US CO Pueblo Field Facility,US CO Pueblo Field Facility,THQ
US CO Colorado Springs Field Facility,US CO Colorado Springs Field Facility,THQ
US CO Cortez Field Facility,US CO Cortez Field Facility,THQ
US CO Brush Field Facility,US CO Brush Field Facility,THQ
US CO Jeffco Hangar,US CO Jeffco Hangar,THQ
US AZ Springerville AZ,US AZ Springerville AZ,THQ
"US CO Western Fuels Association, Inc","US CO Western Fuels Association, Inc",THQ
