DVM,OUTL-BRT-WACS_FPRC_PaymentTerm,Maps Payment Term values between Oracle Procurement Cloud (FPRC) and Work and Asset Cloud Service (WACS),wacs_fprc
FPRC_PaymentTerm,WACS_PaymentTerm,FPRC_NumberOfDays
0.5/10 Net 10,0.5/10 Net 10,10
0.5/10 Net 30,0.5/10 Net 30,30
0.5/15 Net 30,0.5/15 Net 30,30
1.5/10 Net 15,1.5/10 Net 15,15
1.5/10 Net 30,1.5/10 Net 30,30
1/10 Net 10,1/10 Net 10,10
1/10 Net 20,1/10 Net 20,20
1/10 Net 21,1/10 Net 21,21
1/10 Net 25,1/10 Net 25,25
1/10 Net 30,1/10 Net 30,30
1/15 Net 15,1/15 Net 15,15
1/15 Net 30,1/15 Net 30,30
1/20 Net 20,1/20 Net 20,20
1/20 Net 30,1/20 Net 30,30
1/25 Net 25,1/25 Net 25,25
1/26 Net 26,1/26 Net 26,26
1/30 Net 30,1/30 Net 30,30
2/10 Net 10,2/10 Net 10,10
2/10 Net 20,2/10 Net 20,20
2/10 Net 30,2/10 Net 30,30
2/10 Net 60,2/10 Net 60,60
2/15 Net 15,2/15 Net 15,15
2/15 Net 30,2/15 Net 30,30
2/15 Net 45,2/15 Net 45,45
2/20 Net 30,2/20 Net 30,30
2/30 Net 30,2/30 Net 30,30
3/10 Net 30,3/10 Net 30,30
3/15 Net 30,3/15 Net 30,30
3/5 Net 30,3/5 Net 30,30
5/10 Net 20,5/10 Net 20,20
5/10 Net 21,5/10 Net 21,21
5/10 Net 30,5/10 Net 30,30
5/15 Net 30,5/15 Net 30,30
5/20 Net 30,5/20 Net 30,30
End of Month,End of Month,
Immediate,Immediate,
Net 1,Net 1,1
Net 10,Net 10,10
Net 11,Net 11,11
Net 12,Net 12,12
Net 13,Net 13,13
Net 14,Net 14,14
Net 15,Net 15,15
Net 16,Net 16,16
Net 17,Net 17,17
Net 18,Net 18,18
Net 19,Net 19,19
Net 2,Net 2,2
Net 20,Net 20,20
Net 21,Net 21,21
Net 22,Net 22,22
Net 23,Net 23,23
Net 24,Net 24,24
Net 25,Net 25,25
Net 26,Net 26,26
Net 27,Net 27,27
Net 28,Net 28,28
Net 29,Net 29,29
Net 3,Net 3,3
Net 30,Net 30,30
Net 32,Net 32,32
Net 36,Net 36,36
Net 37,Net 37,37
Net 38,Net 38,38
Net 4,Net 4,4
Net 40,Net 40,40
Net 43,Net 43,43
Net 45,Net 45,45
Net 47,Net 47,47
Net 5,Net 5,5
Net 6,Net 6,6
Net 60,Net 60,60
Net 64,Net 64,64
Net 7,Net 7,7
Net 76,Net 76,76
Net 8,Net 8,8
Net 9,Net 9,9
Net 90,Net 90,90
Net 92,Net 92,92
Net Monthly Account,Net Monthly Account,
