DVM,OUTL-BRT-WACS_FPRC_UOM,Maps UOM Code between Oracle ERP Procurement Cloud (FPRC) and Work and Asset Cloud Service (WACS).,wacs_fprc
WACS_UOMCode,FPRC_UOMName
BD,BD
BG,BG
BI,BI
BL,BL
BT,BT
BTU,BTU
BX,BX
CC,CC
CF,CF
CI,CI
CL,CL
CM,CM
CN,CN
CS,CS
CT,CT
CY,CY
DAY,DAY
DR,DR
DZ,DZ
Ea,Ea
flz,flz
FT,FT
GB,GB
GL,GL
HR,HR
IN,IN
KG,KG
KM,KM
KT,KT
lb,lb
LF,LF
LN,LN
LR,LR
LT,LT
M,M
MB,MB
MIN,MIN
MM,MM
OZ,OZ
PC,PC
PK,PK
PL,PL
PR,PR
PT,PT
QD,QD
QT,QT
RE,RE
RL,RL
SEC,SEC
SF,SF
SH,SH
SP,SP
SR,SR
ST,ST
TB,TB
TN,TN
WK,WK
YD,YD
UT,UT
