DVM,OUTL-BRT-WACS_PO_DeliverToLocation,"Maps ERP Procurement Cloud Deliver To Location Code to WACS Ship To Location or vise versa. In WACS, Ship To Location is a storeroom.",wacs_fprc
WACS_ShipToLocation,FPRC_DeliverToLocationCode,FPRC_DestinationOrgCode
839140000000,US CO Burlington Turbines & Oil Tanks,BUR
939140000000,US NM Rio Rancho Maintenance Center,TMS
049140000000,US CO Colowyo Mine,CCC
249140000000,US CO Craig Station,CRG
449140000000,US CO Northern Colorado Maintenance Center,NCM
549140000000,US CO Frank Knutson Generating Station,BRI
749140000000,US CO Limon Generating Station,LIM
949140000000,US NM Pyramid Generating Station,PYR
159140000000,US CO JM Shafer Station,JMS
359140000000,US CO Tri-State Headquarters,THQ
259140000000,US NE Sidney Warehouse,TME
849140000000,US CO West side transmission,TMW
520240000000,US CO Colowyo Mine Upper Shop,
620240000000,US CO Colowyo Mine Lab Sample,
720240000000,US CO Colowyo Mine Reclamation Pond,
820240000000,US CO Colowyo Mine Repeater,
920240000000,US CO Colowyo Mine Collom Repeater,
030240000000,US CO Colowyo Mine Explosive Storage,
130240000000,US CO Colowyo Mine Barrel Storage,
230240000000,US CO Colowyo Mine Administration,
330240000000,US CO Colowyo Mine South Taylor First Aid,
430240000000,US CO Colowyo Mine South Taylor Pump House,
530240000000,US CO Colowyo Mine Communications,
630240000000,US CO Colowyo Mine Collom Communications,
730240000000,US CO Colowyo Mine Blaster Shack,
830240000000,US CO Colowyo Mine Collom Blaster Shack,
930240000000,US CO Colowyo Mine Collom Readyline,
040240000000,US CO Colowyo Mine Admin Traffic Station,
140240000000,US CO Colowyo Mine Y Intersection Traffic Station,
240240000000,US CO Colowyo Mine County Road Traffic Station,
340240000000,Conversion,
440240000000,Colowyo Mine Fuel,
540240000000,Craig Station Fuel,
640240000000,Craig Station PAC Fuel,
740240000000,Craig Station PRPA Fuel,
840240000000,Craig Station PSC Fuel,
940240000000,Craig Station SRP Fuel,
050240000000,Craig Station Yampa Participants,
150240000000,Laramie River Station,
250240000000,San Juan Station,
700240000000,US CO Western Fuels Association Inc,
800240000000,US CO Western Fuels Illinois Inc,
459140000000,US CO Jeffco Hangar,
559140000000,US CO Montrose Field Facility,
659140000000,US CO Durango Field Facility,
859140000000,US CO Craig Transmission Field Facility,
959140000000,US CO San Luis Valley Field Facility,
069140000000,US CO Pueblo Field Facility,
169140000000,US CO Pueblo Annex Building,
269140000000,US NE Stegal Field Facility,
369140000000,US CO Brush Field Facility,
469140000000,US WY Cheyenne Field Facility,
569140000000,US NE Ogallala Line Facility,
769140000000,US WY Thermopolis Field Facility,
869140000000,US CO Burlington Field Facility,
969140000000,US NE Sidney Fab Shop,
079140000000,US NM Las Cruces Field Facility,
179140000000,US NM Cimarron Field Facility,
279140000000,US CO Colorado Springs Field Facility,
379140000000,US CO Cortez Field Facility,
479140000000,US CO Back Up Control Center,
579140000000,US NE Scottsbluff Field Facility,
679140000000,US CO Kremmling Field Facility,
779140000000,US CO Colowyo Mine Pit Lot Lube Station,
879140000000,US CO Colowyo Mine South Taylor Lube Building,
979140000000,US CO Rocky Mountain Metropolitan Airport,
089140000000,US CO Frederick Operations Center,
389140000000,US CO Craig Station 1,
489140000000,US CO Craig Station 2,
589140000000,US CO Craig Station 3,
789140000000,US CO Craig Swithyard,
889140000000,US CO Cooperative ConNEXTions LLC,
989140000000,US CO Elk Ridge Mining and Reclamation LLC,
099140000000,US NM Escalante Generating Station,
199140000000,US CO East side transmission,
299140000000,US NM South side transmission,
499140000000,US CO Granby Field Facility,
799140000000,US CO Marion Coal Sales,
999140000000,US CO New Horizon Mine,
000240000000,US CO Nucla Generating Station,
100240000000,US CO Parker Field Facility,
300240000000,US CO Rifle Field Facility,
400240000000,US CO Rifle Generating Station,
600240000000,US AZ Springerville AZ,
900240000000,US CO Western Fuels Service Corporation,
010240000000,US CO Wray Field Facility,
110240000000,US CO Western States Power Company,
210240000000,US CO Colowyo Mine Sample System,
310240000000,US CO Colowyo Mine Lab,
410240000000,US CO Colowyo Mine Maintenance Shop,
510240000000,US CO Colowyo Mine Lab Cold Storage,
610240000000,US CO Colowyo Mine Guard Shack,
710240000000,US CO Colowyo Mine Operations Facility,
810240000000,US CO Colowyo Mine Collom Office,
910240000000,US CO Colowyo Mine Surveyor,
020240000000,US CO Colowyo Mine Wash Bay,
120240000000,US CO Colowyo Mine Tank Farm,
220240000000,US CO Colowyo Mine Warehouse Cold Storage,
320240000000,US CO Colowyo Mine Reclamation,
420240000000,US CO Colowyo Mine Warehouse New Cold Storage,
