DVM,TSGT-ERP-WACS-ExpenseCode,This is used to map Expense Code in ERP and WACS Integrations,
ERPExpenseType,WACSExpenseCode
NO COST TYPE,CM-00000
SALARIES - EXEMPT REGULAR WAGES,CM-60010
SALARIES - NON-EXEMPT REGULAR WAGES,CM-60015
SALARIES - NON-EXEMPT OT WAGES,CM-60020
SALARIES - EXEMPT OT WAGES,CM-60025
HOURLY REGULAR WAGES,CM-60030
HOURLY OT WAGES 1.5,CM-60035-1
HOURLY OT WAGES 1.75,CM-60035-2
HOURLY OT WAGES 2.0,CM-60035-3
HOURLY OT WAGES 2.5,CM-60035-4
PAID TIME OFF,CM-60105
HEALTH INSURANCE BENEFITS,CM-60115
LIFE INSURANCE,CM-60120
PENSION RETIREMENT BENEFITS,CM-60125
401K RETIREMENT BENEFITS,CM-60130
FICA EMPLOYMENT TAXES - SS,CM-60135
ALLOCATED - EMPLOYEE OVERHEADS AND BENEFITS - OFFSET,CM-60140
"UNEMPLOYMENT TAXES - SUTA, FUTA",CM-60145
WORKERS COMPENSATION,CM-60150
FMLA,CM-60155
FAMLI TAX - STATE OF COLORADO,CM-60160
LONG TERM DISABILITY INSURANCE,CM-60165
FLEX BENEFITS,CM-60170
EDUCATION REIMBURSEMENT,CM-60205
RELOCATION COSTS,CM-60210
TRAINING COSTS,CM-60215
RECRUITING COSTS,CM-60220
CONTRACTED SERVICES,CM-60305
CONTRACTED SERVICES - MATERIALS SUPPLIED,CM-60310
CONTINGENT WORKERS - TEMP LABOR,CM-60315
BOARD PREP FEES,CM-60320
BOD ATTENDANCE FEES,CM-60325
BOD CHAIRMAN FEES,CM-60330
BOD RABBI TRUST DEFERRAL,CM-60335
PROPERTY TAX,CM-60405
INCOME TAX,CM-60410
SALES & USE TAX,CM-60415
TAXES - OTHER,CM-60430
MATERIALS CATALOG - RECV VIA WAREHOUSE,CM-60500
MATERIALS NON-CATALOG - RECV VIA WAREHOUSE,CM-60503
MATERIAL HANDLING OVERHEAD,CM-60505
COAL INVENTORY VALUATION ADJUSTMENT,CM-60510
EXPLOSIVES - INVENTORIED,CM-60515
INVENTORY ADJUSTMENTS,CM-60520
OBSOLETE INVENTORY,CM-60525
FUEL - GASOLINE - FLEET VEHICLES,CM-60600
FUEL - GENERATION COAL,CM-60605
FUEL - GENERATION NATURAL GAS,CM-60610
FUEL - GENERATION FUEL OIL,CM-60615
FUEL - DIESEL,CM-60620
FUEL - PROPANE,CM-60625
OPERATING LEASE ST,CM-60700
OPERATING LEASE LT,CM-60705
OPERATING LEASE VARIABLE,CM-60710
FINANCING LEASE,CM-60715
RENTAL - NON LEASE,CM-60800
UTILITES - WATER,CM-60900
UTILITIES - CELL PHONE  OR INTERNET REIMBURSEMENTS,CM-60905
UTILITIES - ELECTRICITY AND NATURAL GAS,CM-60910
UTILITIES - OTHER,CM-60915
MAINTENANCE - BUILDING,CM-61000
MAINTENANCE - COAL STOCKPILE,CM-61005
MAINTENANCE - EQUIPMENT,CM-61010
MAINTENANCE - FUEL & LUBES,CM-61015
MAINTENANCE - FURNITURE,CM-61020
MAINTENANCE - GROUNDS,CM-61025
MAINTENANCE - TIRES,CM-61030
MAINTENANCE - FLEET VEHICLES,CM-61035
TRAVEL COSTS - FUEL - RENTAL CAR,CM-61100
TRAVEL COSTS - LODGING,CM-61105
TRAVEL COSTS - MEALS,CM-61110
TRAVEL COSTS - OTHER,CM-61115
TRAVEL COSTS - TRANSPORTATION SERVICE,CM-61120
TRAVEL COSTS - CORPORATE AIR,CM-61125
TRAVEL COSTS - COMMERCIAL AIR,CM-61130
TRAVEL COSTS - REIMBURSABLE MILEAGE,CM-61135
TRAVEL COSTS - COMPANY VEHICLE,CM-61140
TRAVEL COSTS - BOD UP TO 100 MILES,CM-61145
TRAVEL COSTS - BOD UP TO 250 MILES,CM-61146
TRAVEL COSTS - BOD UP TO 350 MILES,CM-61147
TRAVEL COSTS - BOD OVER 350 MILES,CM-61148
COMPUTER HARDWARE,CM-61200
SOFTWARE MAINTENANCE,CM-61205
SOFTWARE O&M PURCHASES,CM-61210
SOFWARE SUBSCRIPIONS,CM-61215
ALLOCATED TECHNOLOGY COSTS,CM-61220
INTEREST EXPENSE,CM-61300
DEPRECIATION EXPENSE,CM-61305
AMORTIZATION EXPENSE,CM-61310
AMORTIZATION EXP - ROU ASSETS,CM-61315
IDC - INTEREST USED DURING CONSTRUCTION,CM-61320
AFUDC - ALLOWANCE FOR EQUITY FUNDS USED DURING CONST,CM-61325
GAIN OR LOSS ON SALE OF ASSETS,CM-61330
NETWORK CREDITS,CM-61335
EQUITY,CM-61340
POSTAGE,CM-61400
FREIGHT,CM-61405
COAL FREIGHT,CM-61415
PURCHASED POWER,CM-61500
PURCHASED TRANSMISSION CAPACITY,CM-61505
SCHEDULE 1 ANCILLARY SERVICES - NITSA,CM-61510
SCHEDULE 1 ANCILLARY SERVICES,CM-61515
SCHEDULE 2 ANCILLARY SERVICES - NITSA,CM-61520
