DVM,TSGTCmnMsgCode_LKP,,
MessageCode,MessageDescr,Comments
TSGT_NODATA_FOUND,No Data Found in the file extracted from ERP,
TSGT_DEFAULT_MSGCODE,"Message code,EmailValues and mandatory values are missing",
TSGT_FILE_SUBMITTED_TO_ERP,Posted Files Submitted to ERP. Processing Results will be sent via Email,
TSGT_FILE_NOT_FOUND,"File Not Found in SFTP. File Pattern : %1, Filepath : %2",used in the Inbound Launcher
TSGT_AR_AUTOINVOICE_IMPORT_FAILED,AR AutoInvoice Import Failed. Please check in ERP cloud for Error Details,
TSGT_VALIDATION_SUCCEEDED,File Successfully passed the validation and submitted to ERP for processing,
TSGT_NODATAFILE_RECEIVED,Data Extract process did not return any Report Data file,
TSGT_SYSTEM_ERROR,System Error :,
TSGT_NODOCID_RECEIVED,Data Extract process did not return any Document ID,
TSGT_CONNECTION_FAILED,Connection to TSGT On-Premise Database Failed,
TSGT_APINVOICE_FAILEDREC_EXTRACT,AP Invoice Rejected invoice extract details,
TSGT_DATA_INSERT_FAILED,Data insertion to ATP failed,
TSGT_AP_SUCCESS,AP Invoice inbound integration is completed successfully,
TSGT_AP_ERROR,AP Invoice inbound integration is errored,
TSGT_DATA_UPDATE_FAILED,Update to the ATP Failed,
TSGT_VALIDATION_FAILED,Validation failed. File : %1 is not submitted to ERP for processing,
TSGT_PAYMENT_MERGE_SUCCESS,Payment Merge Outbound Integration is completed successfully,
TSGT_PAYMENT_MERGE_ERROR,Payment Merge Outbound Integration is errored,
TSGT_GL_FILE_NOT_FOUND,GL Exchange Rates File Not Found in Azure,
TSGT_CMN_SFTP_DISPATCHER_SUCCESS,SFTP Dispatcher Outbound Integration is completed successfully.,
TSGT_CMN_SFTP_DISPATCHER_ERROR,SFTP Dispatcher Outbound Integration is errored.,
TSGT_CMN_DATASYNC_DISPATCHER_SUCCESS,DataSync Dispatcher Outbound Integration is completed successfully,
TSGT_CMN_DATASYNC_DISPATCHER_ERROR,DataSync Dispatcher Outbound Integration is errored.,
TSGT_CMN_OSS_ORCHESTRATION_ERROR,OSS Orchestration Integration is errored,
TSGT_CMN_ORCHESTRATION_SUCCESS,OSS Orchestration Integration is completed successfully,
TSGT_ESS_JOB_ERROR,Error in ESS Job,
TSGT_FAH_COA_IMPORT_ERROR,EDMCS FAH Import completed with Error.,
TSGT_FG_DISPATCHER_SUCCESS,FieldGlass Dispatcher Outbound Integration is completed successfully,
TSGT_FG_DISPATCHER_ERROR,FieldGlass Dispatcher Outbound Integration is errored.,
TSGT_FA_TO_PA_SUCCESS,Fixed Assets To Projects Integration is completed successfully,
TSGT_FA_TO_PA_ERROR,Fixed Assets To Projects Integration is errored.,
TSGT_CN_DISPATCHER_SUCCESS,Concur Dispatcher Outbound Integration is completed successfully,
TSGT_CN_DISPATCHER_ERROR,Concur Dispatcher Outbound Integration is errored.,
TSGT_CPQ_ITEMSTRUCTURE_SYNC_SUCCESS,CPQ Item Structure Outbound Integration is completed successfully.,
TSGT_BOL_ITEMSTRUCTURE_SYNC_SUCCESS,BOL Item Structure Outbound Integration is completed successfully.,
TSGT_CMN_GETUCM_FILE_FAILED,Error!failed to get the UCM FILE for %1,
TSGT_AP_MEDIATOR_UPDATE_LOGGER_ERROR,Error Occurred while Updating Logger.,
TSGT_AP_MEDIATOR_GET_METADATA_ERROR,Error Occurred while Extracting Metadata.,
TSGT_AP_MEDIATOR_INTG_TRACKER_ERROR,Error Occurred while Getting Status Of Integration Flow.,
TSGT_AP_MEDIATOR_FILE_PROCESS_ERROR,Error Occurred while File Processed From Object Storage to Stage.,
TSGT_AP_MEDIATOR_DATA_PROCESS_ERROR_FROM_STG_TO_FBDI,Error Occurred while Transforming Data From Stage to FBDI Table.,
TSGT_AP_MEDIATOR_UPDATE_METADATA_ERROR,Error Occurred while Updating Metadata.,
TSGT_AP_MEDIATOR_ORSTRATION_INVOCATION_ERROR,Error Occurred while Invoking Orchestration Service.,
TSGT_AP_MEDIATOR_ERRORHANDLER_PROCESS_ERROR_FROM_STG_TO_FBDI,Error Occurred while Invoking Error Handler Process From Stage to FBDI Table.,
TSGT_AP_MEDIATOR_ERRORHANDLER_PROCESS_ERROR,Error Occurred while Invoking Error Handler Process From Object Storage to Stage.,
TSGT_AP_MEDIATOR_ERRORHANDLER_PROCESS_INTG_TRACKER_ERROR,Error Occurred while Invoking Error Handler Process For Failure Status Of Integration Flow.,
TSGT_CMN_ORCHESTRATOR_GET_TRACKING_DETAIL_ERROR,Error Occurred while Getting Tracking Detail.,
TSGT_CMN_ORCHESTRATOR_INVOKE_LOGGING_SERVICE_ERROR,Error Occurred while Invoking Logging Service.,
TSGT_CMN_ORCHESTRATOR_UPDATE_TRACKING_OR_GETTING_METADATA_ERROR,Error Occurred while Updating Tracking Service OR Getting Metadata Detaiils.,
TSGT_CMN_ORCHESTRATOR_UPDATE_METADATA_ERROR,Error Occurred while Updating Metadata Error Status.,
TSGT_AP_ORCHESTRATOR_GET_FBDI_IMPORT_ERROR,Error Occurred while Getting FBDI Files and Importing to Cloud.,
TSGT_CMN_ORCHESTRATOR_UPDATE_ESSJOBID_TRACKING_ERROR,Error Occurred while Updating ESSJOB Id in ATP.,
TSGT_CMN_ORCHESTRATOR_UPDATE_NO_ESSJOBID_TRACKING_ERROR,Error Occurred while Updating No ESSJOB Id in ATP.,
TSGT_CMN_ORCHESTRATOR_DOWNLOAD_ESSJOB_OR_WRITETOSFTP_OR_NOTIFY_ERROR,Error Occurred while Downloading ESS Job OR Moving LogFile To Sftp OR Notifying Error.,
TSGT_CMN_ORCHESTRATOR_LOGGER_INVOCATION_ERROR,Error Occurred while Invoking Logger Service.,
TSGT_CMN_SFTP_DISPATCHER_GET_FILENAME,Error Occurred while Retrieving File Name.,
TSGT_CMN_SFTP_DISPATCHER_GET_FILE_FROM_UCM,Error Occurred while Retrieving File from UCM Server.,
TSGT_CMN_SFTP_DISPATCHER_WRITE_FILE_TO_SFTP,Error Occurred while Writing File to SFTP Server.,
TSGT_CMN_SFTP_DISPATCHER_DELETE_FILE_FROM_UCM,Error Occurred while Deleting File from UCM Server.,
TSGT_CMN_SFTP_DISPATCHER_UPDATE_TRIGGER_SUCCESS,Error Occurred while Updating trigger status as success.,
TSGT_CMN_SFTP_DISPATCHER_UPDATE_TRIGGER_ERROR,Error Occurred while Updating trigger status as error.,
