DVM,TSGTCmnProcessingStatus_LKP,,
DOMAIN_NAME,DOMAIN_VALUE
Staged,1
Business Processor,2
Transformation,3
ESS Job Submitted,4
Callback Received,5
Response Processing,6
Processed-Success,7
Processed-Partial,8
Processed-Error,9
Callback Received With Error,21
Reprocess-Success,22
Republish-Success,23
Published,44
Delivered,45
Reprocess-Error,24
Republish-Error,25
Callback Success,46
Republish-Partial,47
Reprocess-Partial,48
No Data Found,49
Insert-Success,50
Insert-Error,51
Republish-Started,70
Dispatcher-Invoked,71
Orchestrator-Invoked,72
Launcher-Invoked,73
Mediator-Invoked,74
Reprocess-Started,75
