DVM,TSGTHcmScheduler_LKP,,
SCHEDULER_IDENTIFIER,VB_INTEGRATION_IDENTIFIER
TSGTSCHE_FIDELITY_LOAN_SERVICE,INTE101 - Fidelity 401k Loan
TSGTSCHE_FIDELITY_DEF_SERVICE,INTE101 - Fidelity 401k Deferral
TSGTS_WACS_TIMEENTRY_TO_CLD_SRV,INTE031- Field Service Time Entry to Cloud
TSGTSCH_FID401K_NON_QALF_SERVICE,INTE101 - Fidelity 401k Non Qualified
TSGTSCH_DELTADENTAL_SERVICE,INTE105 - Delta Dental Benefit Interface
TSGTSCH_KAISER_SERVICE,INTE104 - Kaiser Benefit Interface
TSGTSCH_HEALTHEQT_SERVICE,INTE106 - Health Equity Benefit Interface
TSGTSCH_COBRA_SERVICE,INTE102 - Cobra Benefit Interface
TSGTSCH_OVERTIMETOSNAP_SERVICE,INTE021 - Overtime to Snap Interface
TSGTSCH_VSP_SERVICE,INTE116 - VSP benefit Interface
TSGTSCHEDU_HCMWORKERE_SERVICE,INTE037 - Worker Data to EPM Interface
TSGTSCHEDU_HSA_SERVICE,INTE106 - Health Equity Benefit Interface
TSGTSCHEDU_SAILPOINT_SERVICE,INTE121-TS SP EXTRACT
TSGTSCHE_SAILPOIN_SERVICE_2,INTE122-TSGT SP TERMINATED
TSGTSCHE_SAILPOIN_SERVICE_3,INTE123-TSGT SP PENDING
