DVM,TSGT_Department_WACSToOFSC,This look-up is used to map WACS Department to OFSC Parent resource and user types,
WACS_Department,OFSC_ParentResourceId,OFSC_UserType
61000 - TMS TRANSMISSION MAINTENANCE,61000_TMS_Transmission_Maint,TSGT_Tech_Transmission
61010 - TMS TELECOM SCADA MAINTENANCE,61010_TMS_TelecomSCADA_Maint,TSGT_Tech_Transmission
61020 - TMS SUBSTATION MAINTENANCE,61020_TMS_Substation_Maint,TSGT_Tech_Transmission
61030 - TMS LINE MAINTENANCE,61030_TMS_Line_Maint,TSGT_Tech_Transmission
61100 - TMW TRANSMISSION MAINTENANCE,61100_TMW_Transmission_Maint,TSGT_Tech_Transmission
61110 - TMW TELECOM SCADA MAINTENANCE,61110_TMW_Telecom_SCADA_Maint,TSGT_Tech_Transmission
61120 - TMW SUBSTATION MAINTENANCE,61120_TMW_Substation_Maint,TSGT_Tech_Transmission
61130 - TMW LINE MAINTENANCE,61130_TMW_Line_Maint,TSGT_Tech_Transmission
61200 - TME TRANSMISSION MAINTENANCE,61200_TME_Transmission_Maint,TSGT_Tech_Transmission
61210 - TME TELECOM SCADA MAINTENANCE,61210_TME_TelecomSCADA_Maint,TSGT_Tech_Transmission
61220 - TME APPARATUS AND CONSTRUCTION,61220_TME_Apparatus_Construction,TSGT_Tech_Transmission
61230 - TME SUBSTATION MAINTENANCE,61230_TME_Substation_Maint,TSGT_Tech_Transmission
61240 - TME LINE MAINTENANCE,61240_TME_Line_Maint,TSGT_Tech_Transmission
60300 - TRANSMISSION GRID OPERATIONS,zTest Resource,TSGT_Tech_Transmission
