DVM,TSGT_OrganizationCode_WACSToERP,This is used to map ERP Org code from Organization Name of WACS,
OrganizationName,OrganizationCode,ERP_ValuationUnit
Burlington Generation Station,BUR,TSGT_CST_ORG-BUR
Colowyo,CCC,CCC_CST_ORG-CCC
Craig Generating Station,CRG,YMP_CST_ORG-CRG
Frank R Knutson Generating Station,BRI,TSGT_CST_ORG-BRI
JM Shafer Generating Station,JMS,TSGT_CST_ORG-JMS
Limon Generating Station,LIM,TSGT_CST_ORG-LIM
Northern Colorado Maintenance,NCM,TSGT_CST_ORG-NCM
Transmission Warehouse-West,TMW,TSGT_CST_ORG-TMW
Pyramid Generating Station,PYR,TSGT_CST_ORG-PYR
Transmission Warehouse-South,TMS,TSGT_CST_ORG-TMS
Transmission Warehouse-East,TME,TSGT_CST_ORG-TME
Tri-State Headquarters,THQ,TSGT_CST_ORG-THQ
Escalante Generating Station,ESC,TSGT_CST_ORG-ESC
LRS Generating Station,LRS,TSGT_CST_ORG-LRS
New Horizon Mine,NHM,CCC_CST_ORG-NHM
Nucla Generation Station,NUC,TSGT_CST_ORG-NUC
Rifle Generating Station,RGS,TSGT_CST_ORG-RGS
San Juan Generating Station,SJN,TSGT_CST_ORG-SJN
Springerville Generating Station,SPG,TSGT_CST_ORG-SPG
