source_file,source_integration,source_integration_code,source_integration_name,source_integration_version,invoke,call_type,target_integration_code,target_version,target_integration_name,resource_uri,adapter_code,application_name,error
TSGT_OU_WACS_ERPFA_ASSET_RETIRE_01.23.2002.iar.yaml,TSGT_OU_WACS_ERPFA_ASSET_RETIRE|01.23.2002,TSGT_OU_WACS_ERPFA_ASSET_RETIRE,TSGT OU WACS ERPFA Asset Retirement,01.23.2002,InvokeErrorHandlerProcess(i2),IntegrationAction,OUTL-BA-WACS_ERPFA_ERROR,01.23.1000,OU WACS ERPFA Common Error Handler,/ErrorCollection,PRESEEDED_COLLOCATED_CONN_1741,InvokeErrorHandlerProcess,
TSGT_OU_WACS_ERPFA_ASSET_RETIRE_01.23.2002.iar.yaml,TSGT_OU_WACS_ERPFA_ASSET_RETIRE|01.23.2002,TSGT_OU_WACS_ERPFA_ASSET_RETIRE,TSGT OU WACS ERPFA Asset Retirement,01.23.2002,invokeCommonErrorHandler(i4),IntegrationAction,OUTL-BA-WACS_ERPFA_ERROR,01.23.2024,OU WACS ERPFA Common Error Handler,/ErrorCollection,PRESEEDED_COLLOCATED_CONN_1741,invokeCommonErrorHandler,
TSGT_OU_WACS_ERPFA_ASSET_RETIRE_01.23.2002.iar.yaml,TSGT_OU_WACS_ERPFA_ASSET_RETIRE|01.23.2002,TSGT_OU_WACS_ERPFA_ASSET_RETIRE,TSGT OU WACS ERPFA Asset Retirement,01.23.2002,invokeErrorHandler(i3),IntegrationAction,OUTL-BA-WACS_ERPFA_ERROR,01.23.2024,OU WACS ERPFA Common Error Handler,/ErrorCollection,PRESEEDED_COLLOCATED_CONN_1741,invokeErrorHandler,
TSGT_OU_WACS_ERPFA_ASSET_RETIRE_01.23.2002.iar.yaml,TSGT_OU_WACS_ERPFA_ASSET_RETIRE|01.23.2002,TSGT_OU_WACS_ERPFA_ASSET_RETIRE,TSGT OU WACS ERPFA Asset Retirement,01.23.2002,ImportFAMassRetirement(i1),Adapter_Invoke,,,,,OUTL-BRT-APP-ERPFA_WACSERPFA,ImportFAMassRetirement,
TSGT_OU_WACS_ERPFA_ASSET_RETIRE_01.23.2002.iar.yaml,TSGT_OU_WACS_ERPFA_ASSET_RETIRE|01.23.2002,TSGT_OU_WACS_ERPFA_ASSET_RETIRE,TSGT OU WACS ERPFA Asset Retirement,01.23.2002,getCostFromBIReport(i5),Adapter_Invoke,,,,,OUTL-BRT-SOAP-ERPBI_WACSERPFA,getCostFromBIReport,
TSGT_OU_WACS_ERPFA_PRJ_ASSET_ADD_01.23.2002.iar.yaml,TSGT_OU_WACS_ERPFA_PRJ_ASSET_ADD|01.23.2002,TSGT_OU_WACS_ERPFA_PRJ_ASSET_ADD,TSGT OU WACS ERPFA Project Asset Addition,01.23.2002,invokeCommonErrorHandler(i3),IntegrationAction,OUTL-BA-WACS_ERPFA_ERROR,01.23.2024,OU WACS ERPFA Common Error Handler,/ErrorCollection,PRESEEDED_COLLOCATED_CONN_1741,invokeCommonErrorHandler,
TSGT_OU_WACS_ERPFA_PRJ_ASSET_ADD_01.23.2002.iar.yaml,TSGT_OU_WACS_ERPFA_PRJ_ASSET_ADD|01.23.2002,TSGT_OU_WACS_ERPFA_PRJ_ASSET_ADD,TSGT OU WACS ERPFA Project Asset Addition,01.23.2002,invokeErrorHandler(i1),IntegrationAction,OUTL-BA-WACS_ERPFA_ERROR,01.23.1000,OU WACS ERPFA Common Error Handler,/ErrorCollection,PRESEEDED_COLLOCATED_CONN_1741,invokeErrorHandler,
TSGT_OU_WACS_ERPFA_PRJ_ASSET_ADD_01.23.2002.iar.yaml,TSGT_OU_WACS_ERPFA_PRJ_ASSET_ADD|01.23.2002,TSGT_OU_WACS_ERPFA_PRJ_ASSET_ADD,TSGT OU WACS ERPFA Project Asset Addition,01.23.2002,invokeErrorHandlerIntegration(i2),IntegrationAction,OUTL-BA-WACS_ERPFA_ERROR,01.23.2024,OU WACS ERPFA Common Error Handler,/ErrorCollection,PRESEEDED_COLLOCATED_CONN_1741,invokeErrorHandlerIntegration,
TSGT_OU_WACS_ERPFA_PRJ_ASSET_ADD_01.23.2002.iar.yaml,TSGT_OU_WACS_ERPFA_PRJ_ASSET_ADD|01.23.2002,TSGT_OU_WACS_ERPFA_PRJ_ASSET_ADD,TSGT OU WACS ERPFA Project Asset Addition,01.23.2002,importAssetsandAssignmentFBDI(i0),Adapter_Invoke,,,,,OUTL-BRT-APP-ERPFA_WACSERPFA,importAssetsandAssignmentFBDI,
TSGT_WACS_ERPFA_ASSET_OS_EXT_01.23.2003.iar.yaml,TSGT_WACS_ERPFA_ASSET_OS_EXT|01.23.2003,TSGT_WACS_ERPFA_ASSET_OS_EXT,TSGT OU WACS ERPFA Assets OS Extract,01.23.2003,invokeCommonErrorHandler(i6),IntegrationAction,OUTL-BA-WACS_ERPFA_ERROR,01.23.2000,OU WACS ERPFA Common Error Handler,/ErrorCollection,PRESEEDED_COLLOCATED_CONN_1741,invokeCommonErrorHandler,
